SDC Deal Number,Company Name,Exit Type,Date Announced / Filed,Date Completed / Issued,Ticker,"Proceeds Amt + Overallot Sold All Markets
(USD)",Acquiror Name,"Rank Value Incl. Net Debt Sum
(USD)","Rank Value Incl. Net Debt Average
(USD)","Rank Value Incl. Net Debt Median
(USD)","M&A Deal Value Average
(USD)","M&A Deal Value Sum
(USD)","M&A Deal Value Median
(USD)","Value of Earnout Average
(USD)","Value of Earnout Sum
(USD)","Value of Earnout Median
(USD)","Purchase Price Average
(USD)","Purchase Price Sum
(USD)","Purchase Price Median
(USD)",Time to Exit (Years),No. of Deals,No. of IPOs,No. of Deals w/ M&A Deal Value,Exit Portfolio Company TRBC Industry Group,Exit Portfolio Company TRBC Industry,Exit Portfolio Company TRBC Economic Sector,Exit Portfolio Company TRBC Business Sector,Exit Portfolio Company TRBC Activity,Exit Date Completed / Issued,"Exit Portfolio Company Nation
('|')",Exit Date Announced / Filed,Exit Date Completed / Issued,Exit Date Completed / Issued,Exit Date Announced / Filed,Exit Date Completed / Issued,Exit Date Completed / Issued,Exit Date Announced / Filed,Exit Date Completed / Issued
154084774942,"IBN18 Broadcast, Ltd.",IPO,26/08/2006,05/02/2007,532800,23.88,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.1,1,1,0,Media & Publishing,Broadcasting,Consumer Cyclicals,Cyclical Consumer Services,Television Broadcasting,05/02/2007,India,26/08/2006,05/02/2007,05/02/2007,26/08/2006,05/02/2007,05/02/2007,26/08/2006,05/02/2007
154084775137,Info Edge (India) Ltd,IPO,30/10/2006,03/11/2006,532777,38.06,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.6,1,1,0,Software & IT Services,Online Services,Technology,Software & IT Services,Online Services (NEC),03/11/2006,India,30/10/2006,03/11/2006,03/11/2006,30/10/2006,03/11/2006,03/11/2006,30/10/2006,03/11/2006
154084759084,"Accel Frontline, Ltd.",IPO,04/10/2006,18/10/2006,532774,9.34,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.8,1,1,0,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),18/10/2006,India,04/10/2006,18/10/2006,18/10/2006,04/10/2006,18/10/2006,18/10/2006,04/10/2006,18/10/2006
154084775750,GMR Infrastructure Ltd,IPO,14/07/2006,07/08/2006,532754,172.16,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3,1,1,0,Transport Infrastructure,Airport Operators & Services,Industrials,Transportation,Airport Operators,07/08/2006,India,14/07/2006,07/08/2006,07/08/2006,14/07/2006,07/08/2006,07/08/2006,14/07/2006,07/08/2006
154084774156,Allcargo Logistics Ltd,IPO,30/05/2006,15/06/2006,532749,30.59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.4,1,1,0,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",Industrials,Transportation,"Courier, Postal, Air Freight & Land-based Logistics (NEC)",15/06/2006,India,30/05/2006,15/06/2006,15/06/2006,30/05/2006,15/06/2006,15/06/2006,30/05/2006,15/06/2006
154084737578,Deccan Charters,IPO,17/09/2005,30/05/2006,532747,78.75,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.4,1,1,0,Passenger Transportation Services,Airlines,Industrials,Transportation,Airlines (NEC),30/05/2006,India,17/09/2005,30/05/2006,30/05/2006,17/09/2005,30/05/2006,30/05/2006,17/09/2005,30/05/2006
154084773841,"Lokesh Machines, Ltd.",IPO,17/04/2006,22/04/2006,532740,9.32,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.1,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrials,Industrial Goods,Industrial Machinery & Equipment (NEC),22/04/2006,India,17/04/2006,22/04/2006,22/04/2006,17/04/2006,22/04/2006,22/04/2006,17/04/2006,22/04/2006
154084778134,Gujarat State Petronet Ltd,IPO,24/01/2006,03/02/2006,532702,84.53,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.2,1,1,0,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Energy,Energy - Fossil Fuels,LNG Transportation & Storage,03/02/2006,India,24/01/2006,03/02/2006,03/02/2006,24/01/2006,03/02/2006,03/02/2006,24/01/2006,03/02/2006
154084778221,Royal Orchid Hotels,IPO,12/01/2006,24/01/2006,532699,25.48,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2,1,1,0,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",Consumer Cyclicals,Cyclical Consumer Services,"Hotels, Motels & Cruise Lines (NEC)",24/01/2006,India,12/01/2006,24/01/2006,24/01/2006,12/01/2006,24/01/2006,24/01/2006,12/01/2006,24/01/2006
154084777911,Celebrity Fashions Pvt. Ltd.,IPO,19/12/2005,27/12/2005,532695,18.13,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5,1,1,0,Textiles & Apparel,Apparel & Accessories,Consumer Cyclicals,Cyclical Consumer Products,Apparel & Accessories (NEC),27/12/2005,India,19/12/2005,27/12/2005,27/12/2005,19/12/2005,27/12/2005,27/12/2005,19/12/2005,27/12/2005
154084778971,Bartronics India Limited,IPO,20/12/2005,27/12/2005,532694,10.79,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.8,1,1,0,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),27/12/2005,India,20/12/2005,27/12/2005,27/12/2005,20/12/2005,27/12/2005,27/12/2005,20/12/2005,27/12/2005
154084778135,PVR Ltd,IPO,08/10/2005,19/12/2005,532689,38.54,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8,1,1,0,Hotels & Entertainment Services,Leisure & Recreation,Consumer Cyclicals,Cyclical Consumer Services,Movie Theaters & Movie Products,19/12/2005,India,08/10/2005,19/12/2005,19/12/2005,08/10/2005,19/12/2005,19/12/2005,08/10/2005,19/12/2005
154084779301,Compulink Systems Pvt Ltd.,IPO,13/07/2005,25/11/2005,532688,5.95,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.5,1,1,0,Software & IT Services,Software,Technology,Software & IT Services,Software (NEC),25/11/2005,India,13/07/2005,25/11/2005,25/11/2005,13/07/2005,25/11/2005,25/11/2005,13/07/2005,25/11/2005
154084736621,ABG Shipyard Ltd,IPO,18/11/2005,01/12/2005,532682,34.25,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Shipbuilding,Industrials,Industrial Goods,Shipbuilding (NEC),01/12/2005,India,18/11/2005,01/12/2005,01/12/2005,18/11/2005,01/12/2005,01/12/2005,18/11/2005,01/12/2005
154084787192,"Suzlon Energy, Ltd.",IPO,23/09/2005,06/10/2005,532667,338.69,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.5,1,1,0,Renewable Energy,Renewable Energy Equipment & Services,Energy,Renewable Energy,Wind Systems & Equipment,06/10/2005,India,23/09/2005,06/10/2005,06/10/2005,23/09/2005,06/10/2005,06/10/2005,23/09/2005,06/10/2005
154084738094,"Sasken Communication Technologies, Ltd.",IPO,11/08/2005,24/08/2005,532663,29.75,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.9,1,1,0,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),24/08/2005,India,11/08/2005,24/08/2005,24/08/2005,11/08/2005,24/08/2005,24/08/2005,11/08/2005,24/08/2005
154084736425,Nectar Lifesciences Ltd,IPO,01/04/2005,22/06/2005,532649,21.39,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.3,1,1,0,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Generic Pharmaceuticals,22/06/2005,India,01/04/2005,22/06/2005,22/06/2005,01/04/2005,22/06/2005,22/06/2005,01/04/2005,22/06/2005
154084735320,Allsec Technologies Ltd,IPO,26/03/2005,22/04/2005,532633,9.72,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.1,1,1,0,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),22/04/2005,India,26/03/2005,22/04/2005,22/04/2005,26/03/2005,22/04/2005,22/04/2005,26/03/2005,22/04/2005
154084733301,Gateway Distriparks Ltd,IPO,01/03/2005,15/03/2005,532622,34.84,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.4,1,1,0,Freight & Logistics Services,Ground Freight & Logistics,Industrials,Transportation,Ground Freight & Logistics (NEC),15/03/2005,India,01/03/2005,15/03/2005,15/03/2005,01/03/2005,15/03/2005,15/03/2005,01/03/2005,15/03/2005
154084733971,UTV Software Communications Pvt Ltd,IPO,11/02/2005,27/02/2005,532619,20.87,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.5,1,1,0,Media & Publishing,Entertainment Production,Consumer Cyclicals,Cyclical Consumer Services,Entertainment Production (NEC),27/02/2005,India,11/02/2005,27/02/2005,27/02/2005,11/02/2005,27/02/2005,27/02/2005,11/02/2005,27/02/2005
154083129898,Flipkart Online Services Pvt Ltd,Merger,09/05/2018,18/08/2018,,0.00,Walmart Inc,"15,999.55","15,999.55","15,999.55","15,999.55","15,999.55","15,999.55",0.00,0.00,0.00,"15,999.55","15,999.55","15,999.55",8.8,1,0,1,Software & IT Services,Online Services,Technology,Software & IT Services,E-commerce & Auction Services,18/08/2018,India,09/05/2018,18/08/2018,18/08/2018,09/05/2018,18/08/2018,18/08/2018,09/05/2018,18/08/2018
154087088572,Renew Power Pvt Ltd,Reverse Takeover (RTO),24/02/2021,23/08/2021,,0.00,RMG Acquisition Corp II,"3,586.11","3,586.11","3,586.11","3,584.00","3,584.00","3,584.00",0.00,0.00,0.00,"3,584.00","3,584.00","3,584.00",5.8,1,0,1,Electric Utilities & IPPs,Independent Power Producers,Utilities,Utilities,Independent Power Producers (NEC),23/08/2021,India,24/02/2021,23/08/2021,23/08/2021,24/02/2021,23/08/2021,23/08/2021,24/02/2021,23/08/2021
154087174527,SB Energy Holdings Ltd,Merger,19/05/2021,04/10/2021,,0.00,Adani Green Energy Ltd,"3,500.00","3,500.00","3,500.00","3,500.00","3,500.00","3,500.00",0.00,0.00,0.00,"3,500.00","3,500.00","3,500.00",0.8,1,0,1,Electric Utilities & IPPs,Electric Utilities,Utilities,Utilities,Electric Utilities (NEC),04/10/2021,India,19/05/2021,04/10/2021,04/10/2021,19/05/2021,04/10/2021,04/10/2021,19/05/2021,04/10/2021
154083176435,LifeCell International Pvt Ltd,Merger,20/12/2016,01/02/2017,,0.00,Allergan Plc,"2,915.74","2,915.74","2,915.74","2,900.00","2,900.00","2,900.00",0.00,0.00,0.00,"2,900.00","2,900.00","2,900.00",4.0,1,0,1,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Biopharmaceuticals,01/02/2017,India,20/12/2016,01/02/2017,01/02/2017,20/12/2016,01/02/2017,01/02/2017,20/12/2016,01/02/2017
154082909968,Cairn Energy India Pty Ltd,Merger,14/06/2015,11/04/2017,,0.00,Vedanta Ltd,"2,156.11","2,156.11","2,156.11","2,156.11","2,156.11","2,156.11",0.00,0.00,0.00,"3,194.86","3,194.86","3,194.86",9.1,1,0,1,Oil & Gas,Oil & Gas Exploration and Production,Energy,Energy - Fossil Fuels,Oil & Gas Exploration and Production (NEC),11/04/2017,India,14/06/2015,11/04/2017,11/04/2017,14/06/2015,11/04/2017,11/04/2017,14/06/2015,11/04/2017
154088484399,Bharat Serums & Vaccines Ltd,Merger,25/07/2024,23/10/2024,,0.00,Mankind Pharma Ltd,"1,644.73","1,644.73","1,644.73","1,644.73","1,644.73","1,644.73",0.00,0.00,0.00,"1,644.73","1,644.73","1,644.73",2.6,1,0,1,Biotechnology & Medical Research,Biotechnology & Medical Research,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research (NEC),23/10/2024,India,25/07/2024,23/10/2024,23/10/2024,25/07/2024,23/10/2024,23/10/2024,25/07/2024,23/10/2024
154087853095,L&T Infrastructure Development Projects Ltd,Secondary Sales,16/12/2022,11/04/2024,,0.00,Epic Concesiones Pvt Ltd,"1,605.97","1,605.97","1,605.97",724.26,724.26,724.26,0.00,0.00,0.00,724.26,724.26,724.26,9.8,1,0,1,Construction & Engineering,Construction & Engineering,Industrials,Industrial & Commercial Services,Construction & Engineering (NEC),11/04/2024,India,16/12/2022,11/04/2024,11/04/2024,16/12/2022,11/04/2024,11/04/2024,16/12/2022,11/04/2024
154083679307,Capital First Ltd,Merger,13/01/2018,18/12/2018,,0.00,IDFC Bank Ltd,"1,458.86","1,458.86","1,458.86","1,458.86","1,458.86","1,458.86",0.00,0.00,0.00,850.46,850.46,850.46,6.6,1,0,1,Banking Services,Corporate Financial Services,Financials,Banking & Investment Services,Commercial Loans,18/12/2018,India,13/01/2018,18/12/2018,18/12/2018,13/01/2018,18/12/2018,18/12/2018,13/01/2018,18/12/2018
154082938776,Gland Pharma Ltd,Merger,28/07/2016,03/10/2017,,0.00,Shanghai Fosun Pharmaceutical (Group) Co Ltd,"1,091.28","1,091.28","1,091.28","1,091.28","1,091.28","1,091.28",0.00,0.00,0.00,"1,091.28","1,091.28","1,091.28",22.0,1,0,1,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals (NEC),03/10/2017,India,28/07/2016,03/10/2017,03/10/2017,28/07/2016,03/10/2017,03/10/2017,28/07/2016,03/10/2017
154085058642,Intelenet Global Services Pvt Ltd,Merger,14/06/2018,04/10/2018,,0.00,Teleperformance SE,"1,000.01","1,000.01","1,000.01","1,000.01","1,000.01","1,000.01",0.00,0.00,0.00,"1,000.01","1,000.01","1,000.01",3.1,1,0,1,Professional & Commercial Services,Business Support Services,Industrials,Industrial & Commercial Services,Business Support Services (NEC),04/10/2018,India,14/06/2018,04/10/2018,04/10/2018,14/06/2018,04/10/2018,04/10/2018,14/06/2018,04/10/2018
154087041431,Aakash Educational Services Limited,Merger,05/04/2021,05/04/2021,,0.00,Think & Learn Pvt Ltd,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",0.00,0.00,0.00,"1,000.00","1,000.00","1,000.00",1.4,1,0,1,Professional & Business Education,Professional & Business Education,Academic & Educational Services,Academic & Educational Services,Professional & Business Education,05/04/2021,India,05/04/2021,05/04/2021,05/04/2021,05/04/2021,05/04/2021,05/04/2021,05/04/2021,05/04/2021
154082994538,MphasiS Ltd,Secondary Sales,03/04/2016,01/09/2016,,0.00,Marble II Pte Ltd,823.68,823.68,823.68,823.68,823.68,823.68,0.00,0.00,0.00,823.68,823.68,823.68,18.2,1,0,1,Software & IT Services,IT Services & Consulting,Technology,Software & IT Services,IT Services & Consulting (NEC),01/09/2016,India,03/04/2016,01/09/2016,01/09/2016,03/04/2016,01/09/2016,01/09/2016,03/04/2016,01/09/2016
34391832570,"Paras Pharmaceuticals, Ltd.",Secondary Sales,13/12/2010,11/04/2011,,0.00,Reckitt Benckiser Group PLC,721.56,721.56,721.56,721.56,721.56,721.56,0.00,0.00,0.00,721.56,721.56,721.56,3.0,1,0,1,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals (NEC),11/04/2011,India,13/12/2010,11/04/2011,11/04/2011,13/12/2010,11/04/2011,11/04/2011,13/12/2010,11/04/2011
154087790490,Virescent Infrastructure Investment Manager Pvt Ltd,Merger,12/05/2023,25/08/2023,,0.00,India Grid Trust,680.58,680.58,680.58,487.27,487.27,487.27,0.00,0.00,0.00,487.27,487.27,487.27,2.7,1,0,1,Electric Utilities & IPPs,Electric Utilities,Utilities,Utilities,Electric Utilities (NEC),25/08/2023,India,12/05/2023,25/08/2023,25/08/2023,12/05/2023,25/08/2023,25/08/2023,12/05/2023,25/08/2023
154087816164,Vector Green Energy Pvt Ltd,Merger,13/11/2022,11/01/2023,,0.00,Sembcorp Green Infra Ltd,664.63,664.63,664.63,345.44,345.44,345.44,0.00,0.00,0.00,345.44,345.44,345.44,0.0,1,0,1,Electric Utilities & IPPs,Electric Utilities,Utilities,Utilities,Wind Electric Utilities,11/01/2023,India,13/11/2022,11/01/2023,11/01/2023,13/11/2022,11/01/2023,11/01/2023,13/11/2022,11/01/2023
154083107343,Bharti Telecom Ltd,Merger,18/08/2016,17/11/2016,,0.00,Magenta Investments Ltd,657.43,657.43,657.43,657.43,657.43,657.43,0.00,0.00,0.00,657.43,657.43,657.43,0.0,1,0,1,Investment Holding Companies,Investment Holding Companies,Financials,Investment Holding Companies,Investment Holding Companies (NEC),17/11/2016,India,18/08/2016,17/11/2016,17/11/2016,18/08/2016,17/11/2016,17/11/2016,18/08/2016,17/11/2016
34392026563,Intelenet Global Services Pvt Ltd,Merger,31/05/2011,07/07/2011,,0.00,Serco Group PLC,633.33,633.33,633.33,633.33,633.33,633.33,82.25,82.25,82.25,633.33,633.33,633.33,3.8,1,0,1,Professional & Commercial Services,Business Support Services,Industrials,Industrial & Commercial Services,Business Support Services (NEC),07/07/2011,India,31/05/2011,07/07/2011,07/07/2011,31/05/2011,07/07/2011,07/07/2011,31/05/2011,07/07/2011
154087958863,Capital Foods Pvt Ltd,Merger,12/01/2024,01/02/2024,,0.00,Tata Consumer Products Ltd,613.99,613.99,613.99,613.99,613.99,613.99,0.00,0.00,0.00,613.99,613.99,613.99,17.3,1,0,1,Personal & Household Products & Services,Personal Services,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal Services (NEC),01/02/2024,India,12/01/2024,01/02/2024,01/02/2024,12/01/2024,01/02/2024,01/02/2024,12/01/2024,01/02/2024
154087379157,Blinkit India Pvt Ltd,Merger,24/06/2022,10/08/2022,,0.00,Zomato Ltd,607.12,607.12,607.12,569.17,569.17,569.17,0.00,0.00,0.00,569.17,569.17,569.17,7.5,1,0,1,Software & IT Services,Software,Technology,Software & IT Services,Mobile Application Software,10/08/2022,India,24/06/2022,10/08/2022,10/08/2022,24/06/2022,10/08/2022,10/08/2022,24/06/2022,10/08/2022
154085170778,Ramky Enviro Engineers Ltd,Secondary Sales,12/08/2018,10/02/2019,,0.00,KKR Asian Fund III LP,530.00,530.00,530.00,530.00,530.00,530.00,0.00,0.00,0.00,530.00,530.00,530.00,12.1,1,0,1,Professional & Commercial Services,Environmental Services & Equipment,Industrials,Industrial & Commercial Services,Environmental Services & Equipment (NEC),10/02/2019,India,12/08/2018,10/02/2019,10/02/2019,12/08/2018,10/02/2019,10/02/2019,12/08/2018,10/02/2019
34392804467,Rsp Architects Planners &,Reverse Takeover (RTO),21/12/2012,25/09/2013,,0.00,Rowsley Ltd,469.70,469.70,469.70,469.70,469.70,469.70,0.00,0.00,0.00,469.70,469.70,469.70,5.1,1,0,1,Construction & Engineering,Construction & Engineering,Industrials,Industrial & Commercial Services,Civil Engineers & Architects,25/09/2013,India,21/12/2012,25/09/2013,25/09/2013,21/12/2012,25/09/2013,25/09/2013,21/12/2012,25/09/2013
154087092937,Avaada Energy Pvt Ltd,Merger,13/07/2021,13/07/2021,,0.00,Global Renewable Synergy Co Ltd,453.78,453.78,453.78,453.78,453.78,453.78,0.00,0.00,0.00,453.78,453.78,453.78,2.3,1,0,1,Electric Utilities & IPPs,Independent Power Producers,Utilities,Utilities,Renewable IPPs,13/07/2021,India,13/07/2021,13/07/2021,13/07/2021,13/07/2021,13/07/2021,13/07/2021,13/07/2021,13/07/2021
154085504682,Altico Capital India Ltd,Secondary Sales,12/03/2020,11/03/2021,,0.00,Ares SSG Capital Management (Singapore) Pte Ltd,421.82,421.82,421.82,421.82,421.82,421.82,0.00,0.00,0.00,421.82,421.82,421.82,5.4,1,0,1,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Lending (NEC),11/03/2021,India,12/03/2020,11/03/2021,11/03/2021,12/03/2020,11/03/2021,11/03/2021,12/03/2020,11/03/2021
34391804752,Orchid Chemicals & Pharmaceuticals Ltd.,Merger,15/12/2009,30/03/2010,,0.00,Hospira Inc,399.99,399.99,399.99,399.99,399.99,399.99,0.00,0.00,0.00,399.99,399.99,399.99,10.5,1,0,1,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals (NEC),30/03/2010,India,15/12/2009,30/03/2010,30/03/2010,15/12/2009,30/03/2010,30/03/2010,15/12/2009,30/03/2010
154082873800,Shriram Finance Ltd,Secondary Sales,12/05/2015,12/05/2015,,0.00,Dynasty Acquisition (FPI) Ltd,358.61,358.61,358.61,358.61,358.61,358.61,0.00,0.00,0.00,358.61,358.61,358.61,5.8,1,0,1,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Lending (NEC),12/05/2015,India,12/05/2015,12/05/2015,12/05/2015,12/05/2015,12/05/2015,12/05/2015,12/05/2015,12/05/2015
154083077832,Healthium Medtech Ltd,Secondary Sales,06/04/2018,06/04/2018,,0.00,Investor Group,350.00,350.00,350.00,350.00,350.00,350.00,0.00,0.00,0.00,350.00,350.00,350.00,5.4,1,0,1,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",Healthcare,Healthcare Services & Equipment,"Medical Equipment, Supplies & Distribution (NEC)",06/04/2018,India,06/04/2018,06/04/2018,06/04/2018,06/04/2018,06/04/2018,06/04/2018,06/04/2018,06/04/2018
154087786377,Zoomcar India Pvt Ltd,Reverse Takeover (RTO),13/10/2022,28/12/2023,,0.00,Innovative International Acquisition Corp,336.00,336.00,336.00,336.00,336.00,336.00,0.00,0.00,0.00,336.00,336.00,336.00,10.7,1,0,1,Passenger Transportation Services,"Passenger Transportation, Ground & Sea",Industrials,Transportation,Passenger Car Rental,28/12/2023,India,13/10/2022,28/12/2023,28/12/2023,13/10/2022,28/12/2023,28/12/2023,13/10/2022,28/12/2023
154088117011,Route Mobile Ltd,Merger,17/07/2023,29/04/2024,,0.00,Proximus Opal SA,312.57,312.57,312.57,312.57,312.57,312.57,0.00,0.00,0.00,312.57,312.57,312.57,2.4,1,0,1,Telecommunications Services,Integrated Telecommunications Services,Technology,Telecommunications Services,Integrated Telecommunications Services (NEC),29/04/2024,India,17/07/2023,29/04/2024,29/04/2024,17/07/2023,29/04/2024,29/04/2024,17/07/2023,29/04/2024
34392039962,Luminous Power Technologies Pvt Ltd,Merger,30/05/2011,30/05/2012,,0.00,Schneider Electric SA,310.56,310.56,310.56,310.56,310.56,310.56,0.00,0.00,0.00,310.56,310.56,310.56,5.0,1,0,1,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Industrials,Industrial Goods,Portable Motors & Generators,30/05/2012,India,30/05/2011,30/05/2012,30/05/2012,30/05/2011,30/05/2012,30/05/2012,30/05/2011,30/05/2012
154082540751,Nuvoco Vistas Corporation Ltd,Merger,15/06/2015,30/08/2015,,0.00,Lafarge SA,302.97,302.97,302.97,302.97,302.97,302.97,0.00,0.00,0.00,302.97,302.97,302.97,2.1,1,0,1,Construction Materials,Construction Materials,Basic Materials,Mineral Resources,Cement & Concrete Manufacturing,30/08/2015,India,15/06/2015,30/08/2015,30/08/2015,15/06/2015,30/08/2015,30/08/2015,15/06/2015,30/08/2015
154086830987,Whitehat Education Technology Pvt Ltd,Merger,05/08/2020,05/08/2020,,0.00,Think & Learn Pvt Ltd,300.00,300.00,300.00,300.00,300.00,300.00,0.00,0.00,0.00,300.00,300.00,300.00,1.3,1,0,1,Software & IT Services,Online Services,Technology,Software & IT Services,Online Services (NEC),05/08/2020,India,05/08/2020,05/08/2020,05/08/2020,05/08/2020,05/08/2020,05/08/2020,05/08/2020,05/08/2020
154079660231,Medreich Sterilab Ltd,Merger,11/06/2014,12/02/2015,,0.00,Meiji Seika Pharma Co Ltd,290.00,290.00,290.00,290.00,290.00,290.00,0.00,0.00,0.00,290.00,290.00,290.00,9.3,1,0,1,Pharmaceuticals,Pharmaceuticals,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals (NEC),12/02/2015,India,11/06/2014,12/02/2015,12/02/2015,11/06/2014,12/02/2015,12/02/2015,11/06/2014,12/02/2015
154087028251,ZCL Chemicals Ltd,Secondary Sales,08/02/2021,11/03/2021,,0.00,Advent International Corp,272.67,272.67,272.67,272.67,272.67,272.67,0.00,0.00,0.00,272.67,272.67,272.67,4.2,1,0,1,Chemicals,Commodity Chemicals,Basic Materials,Chemicals,Commodity Chemicals (NEC),11/03/2021,India,08/02/2021,11/03/2021,11/03/2021,08/02/2021,11/03/2021,11/03/2021,08/02/2021,11/03/2021
154082921257,Gangavaram Port Ltd,Merger,03/03/2021,17/04/2021,,0.00,Adani Ports & Special Economic Zone Ltd,266.79,266.79,266.79,266.79,266.79,266.79,0.00,0.00,0.00,266.79,266.79,266.79,13.8,1,0,1,Freight & Logistics Services,Marine Freight & Logistics,Industrials,Transportation,Marine Freight & Logistics (NEC),17/04/2021,India,03/03/2021,17/04/2021,17/04/2021,03/03/2021,17/04/2021,17/04/2021,03/03/2021,17/04/2021
154087709302,Vistaar Financial Services Pvt Ltd,Secondary Sales,10/10/2022,29/05/2023,,0.00,Warburg Pincus LLC,250.00,250.00,250.00,250.00,250.00,250.00,0.00,0.00,0.00,250.00,250.00,250.00,13.0,1,0,1,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Lending (NEC),29/05/2023,India,10/10/2022,29/05/2023,29/05/2023,10/10/2022,29/05/2023,29/05/2023,10/10/2022,29/05/2023
154087862274,Kurlon Enterprise Ltd,Merger,17/07/2023,20/10/2023,,0.00,Sheela Foam Ltd,248.02,248.02,248.02,248.02,248.02,248.02,0.00,0.00,0.00,248.02,248.02,248.02,26.2,1,0,1,Household Goods,Home Furnishings,Consumer Cyclicals,Cyclical Consumer Products,Home Furnishings (NEC),20/10/2023,India,17/07/2023,20/10/2023,20/10/2023,17/07/2023,20/10/2023,20/10/2023,17/07/2023,20/10/2023
34393008451,Hitachi Payment Services Pvt Ltd,Merger,26/11/2013,20/04/2015,,0.00,Hitachi Ltd,247.47,247.47,247.47,247.47,247.47,247.47,0.00,0.00,0.00,247.47,247.47,247.47,6.8,1,0,1,Professional & Commercial Services,Business Support Services,Industrials,Industrial & Commercial Services,Business Support Services (NEC),20/04/2015,India,26/11/2013,20/04/2015,20/04/2015,26/11/2013,20/04/2015,20/04/2015,26/11/2013,20/04/2015
154087127564,Five-Star Business Finance Ltd,Secondary Sales,26/03/2021,26/04/2021,,0.00,Investor Group,234.00,234.00,234.00,234.00,234.00,234.00,0.00,0.00,0.00,234.00,234.00,234.00,7.2,1,0,1,Banking Services,Consumer Lending,Financials,Banking & Investment Services,Consumer Lending (NEC),26/04/2021,India,26/03/2021,26/04/2021,26/04/2021,26/03/2021,26/04/2021,26/04/2021,26/03/2021,26/04/2021
