"sdc_deal_number","company_name","exit_type","date_announced_filed","date_completed_issued","ticker","proceeds_amt_overallot_sold_all_markets_usd","acquiror_name","rank_value_incl_net_debt_sum_usd","rank_value_incl_net_debt_average_usd","rank_value_incl_net_debt_median_usd","m_a_deal_value_average_usd","m_a_deal_value_sum_usd","m_a_deal_value_median_usd","value_of_earnout_average_usd","value_of_earnout_sum_usd","value_of_earnout_median_usd","purchase_price_average_usd","purchase_price_sum_usd","purchase_price_median_usd","time_to_exit_years","no_of_deals","no_of_ipos","no_of_deals_w_m_a_deal_value","exit_portfolio_company_trbc_industry_group","exit_portfolio_company_trbc_industry","exit_portfolio_company_trbc_economic_sector","exit_portfolio_company_trbc_business_sector","exit_portfolio_company_trbc_activity","exit_date_completed_issued_30","exit_portfolio_company_nation","exit_date_announced_filed_32","exit_date_completed_issued_33","exit_date_completed_issued_34","exit_date_announced_filed_35","exit_date_completed_issued_36","exit_date_completed_issued_37","exit_date_announced_filed_38","exit_date_completed_issued_39","exit_year","company","exit_value","sector"
"154084856210","Just Dial Ltd","IPO","21/08/2012","27/05/2013","535648",165.41,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.6,1,1,0,"Media & Publishing","Consumer Publishing","Consumer Cyclicals","Cyclical Consumer Services","Consumer Publishing (NEC)","27/05/2013","India","21/08/2012","27/05/2013","27/05/2013","21/08/2012","27/05/2013","27/05/2013","21/08/2012","27/05/2013",NA,"Just Dial Ltd",154084856210,"Media & Publishing"
"154084878459","V-mart Retail Ltd","IPO","28/01/2013","18/02/2013","534976",17.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1,1,0,"Diversified Retail","Department Stores","Consumer Cyclicals","Retailers","General Department Stores","18/02/2013","India","28/01/2013","18/02/2013","18/02/2013","28/01/2013","18/02/2013","18/02/2013","28/01/2013","18/02/2013",NA,"V-mart Retail Ltd",154084878459,"Diversified Retail"
"154084803927","Tree House Education and Accessories Ltd","IPO","23/02/2011","23/08/2011","533540",24.95,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,"Personal & Household Products & Services","Personal Services","Consumer Non-Cyclicals","Personal & Household Products & Services","Personal Services (NEC)","23/08/2011","India","23/02/2011","23/08/2011","23/08/2011","23/02/2011","23/08/2011","23/08/2011","23/02/2011","23/08/2011",NA,"Tree House Education and Accessories Ltd",154084803927,"Personal & Household Products & Services"
"154084854766","Innoventive Industries Ltd","IPO","05/10/2010","05/05/2011","533402",48.57,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1,1,0,"Metals & Mining","Iron & Steel","Basic Materials","Mineral Resources","Metallic Rolling & Drawing Products","05/05/2011","India","05/10/2010","05/05/2011","05/05/2011","05/10/2010","05/05/2011","05/05/2011","05/10/2010","05/05/2011",NA,"Innoventive Industries Ltd",154084854766,"Metals & Mining"
"154084855865","Muthoot Finance, Ltd.","IPO","01/10/2010","04/05/2011","533398",203.21,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1,0,"Banking Services","Consumer Lending","Financials","Banking & Investment Services","Consumer Lending (NEC)","04/05/2011","India","01/10/2010","04/05/2011","04/05/2011","01/10/2010","04/05/2011","04/05/2011","01/10/2010","04/05/2011",NA,"Muthoot Finance, Ltd.",154084855865,"Banking Services"
"154084852829","A2Z Maintenance & Engineering Services Pvt., Ltd.","IPO","06/12/2010","21/12/2010","533292",171.79,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.3,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Power & Communications Network Construction","21/12/2010","India","06/12/2010","21/12/2010","21/12/2010","06/12/2010","21/12/2010","21/12/2010","06/12/2010","21/12/2010",NA,"A2Z Maintenance & Engineering Services Pvt., Ltd.",154084852829,"Construction & Engineering"
"154084861438","Claris Lifesciences Ltd","IPO","23/08/2007","20/12/2010","533288",63.52,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1,1,0,"Pharmaceuticals","Pharmaceuticals","Healthcare","Pharmaceuticals & Medical Research","Generic Pharmaceuticals","20/12/2010","India","23/08/2007","20/12/2010","20/12/2010","23/08/2007","20/12/2010","20/12/2010","23/08/2007","20/12/2010",NA,"Claris Lifesciences Ltd",154084861438,"Pharmaceuticals"
"154084827785","Ashoka Buildcon, Ltd.","IPO","22/09/2009","05/10/2010","533271",50.61,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","05/10/2010","India","22/09/2009","05/10/2010","05/10/2010","22/09/2009","05/10/2010","05/10/2010","22/09/2009","05/10/2010",NA,"Ashoka Buildcon, Ltd.",154084827785,"Construction & Engineering"
"154084829271","Tecpro Systems Ltd","IPO","27/02/2008","05/10/2010","533266",60.28,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","05/10/2010","India","27/02/2008","05/10/2010","05/10/2010","27/02/2008","05/10/2010","05/10/2010","27/02/2008","05/10/2010",NA,"Tecpro Systems Ltd",154084829271,"Construction & Engineering"
"154084864087","Ramky Infrastructure, Ltd.","IPO","20/08/2007","21/09/2010","533262",116.08,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","21/09/2010","India","20/08/2007","21/09/2010","21/09/2010","20/08/2007","21/09/2010","21/09/2010","20/08/2007","21/09/2010",NA,"Ramky Infrastructure, Ltd.",154084864087,"Construction & Engineering"
"154084844296","Gujarat Pipavav Port Ltd","IPO","30/09/2008","31/08/2010","53324",107.94,NA,0,0,0,0,0,0,0,0,0,0,0,0,12.3,1,1,0,"Transport Infrastructure","Marine Port Services","Industrials","Transportation","Port Operators","31/08/2010","India","30/09/2008","31/08/2010","31/08/2010","30/09/2008","31/08/2010","31/08/2010","30/09/2008","31/08/2010",NA,"Gujarat Pipavav Port Ltd",154084844296,"Transport Infrastructure"
"154084850697","Bharat Financial Inclusion Ltd","IPO","30/09/2009","03/08/2010","533228",358.31,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1,1,0,"Banking Services","Consumer Lending","Financials","Banking & Investment Services","Microfinancing","03/08/2010","India","30/09/2009","03/08/2010","03/08/2010","30/09/2009","03/08/2010","03/08/2010","30/09/2009","03/08/2010",NA,"Bharat Financial Inclusion Ltd",154084850697,"Banking Services"
"154084804217","Parabolic Drugs, Ltd.","IPO","22/01/2010","25/06/2010","533211",43.43,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.1,1,1,0,"Pharmaceuticals","Pharmaceuticals","Healthcare","Pharmaceuticals & Medical Research","Generic Pharmaceuticals","25/06/2010","India","22/01/2010","25/06/2010","25/06/2010","22/01/2010","25/06/2010","25/06/2010","22/01/2010","25/06/2010",NA,"Parabolic Drugs, Ltd.",154084804217,"Pharmaceuticals"
"154084818061","IL&FS Transportation Networks, Ltd.","IPO","30/09/2009","18/03/2010","533177",154.02,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","18/03/2010","India","30/09/2009","18/03/2010","18/03/2010","30/09/2009","18/03/2010","18/03/2010","30/09/2009","18/03/2010",NA,"IL&FS Transportation Networks, Ltd.",154084818061,"Construction & Engineering"
"154084808948","Man Infraconstruction Pvt., Ltd.","IPO","11/02/2010","23/02/2010","533169",30.65,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","23/02/2010","India","11/02/2010","23/02/2010","23/02/2010","11/02/2010","23/02/2010","23/02/2010","11/02/2010","23/02/2010",NA,"Man Infraconstruction Pvt., Ltd.",154084808948,"Construction & Engineering"
"154084831416","Infinite Computer Solutions (India), Ltd.","IPO","05/01/2010","27/01/2010","533154",41.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.6,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","27/01/2010","India","05/01/2010","27/01/2010","27/01/2010","05/01/2010","27/01/2010","27/01/2010","05/01/2010","27/01/2010",NA,"Infinite Computer Solutions (India), Ltd.",154084831416,"Software & IT Services"
"154084808672","DEN Networks Ltd","IPO","28/10/2009","06/11/2009","533137",77.86,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Media & Publishing","Broadcasting","Consumer Cyclicals","Cyclical Consumer Services","Cable Service Providers","06/11/2009","India","28/10/2009","06/11/2009","06/11/2009","28/10/2009","06/11/2009","06/11/2009","28/10/2009","06/11/2009",NA,"DEN Networks Ltd",154084808672,"Media & Publishing"
"154084810787","RattanIndia Power Ltd","IPO","15/07/2009","16/10/2009","533122",351.48,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1,1,0,"Electric Utilities & IPPs","Electric Utilities","Utilities","Utilities","Electric Utilities (NEC)","16/10/2009","India","15/07/2009","16/10/2009","16/10/2009","15/07/2009","16/10/2009","16/10/2009","15/07/2009","16/10/2009",NA,"RattanIndia Power Ltd",154084810787,"Electric Utilities & IPPs"
"154084812292","Pipavav Shipyard, Ltd.","IPO","14/06/2008","09/10/2009","533107",106.58,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Shipbuilding","Industrials","Industrial Goods","Ship Repairing & Maintenance","09/10/2009","India","14/06/2008","09/10/2009","09/10/2009","14/06/2008","09/10/2009","09/10/2009","14/06/2008","09/10/2009",NA,"Pipavav Shipyard, Ltd.",154084812292,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084815650","Resurgere Mines & Minerals India, Ltd.","IPO","08/08/2008","18/08/2008","533017",27.64,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1,0,"Metals & Mining","Iron & Steel","Basic Materials","Mineral Resources","Iron Ore Mining","18/08/2008","India","08/08/2008","18/08/2008","18/08/2008","08/08/2008","18/08/2008","18/08/2008","08/08/2008","18/08/2008",NA,"Resurgere Mines & Minerals India, Ltd.",154084815650,"Metals & Mining"
"154084838356","KSK Energy Ventures, Ltd.","IPO","23/06/2008","26/06/2008","532997",195.08,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Electric Utilities & IPPs","Electric Utilities","Utilities","Utilities","Solar Electric Utilities","26/06/2008","India","23/06/2008","26/06/2008","26/06/2008","23/06/2008","26/06/2008","26/06/2008","23/06/2008","26/06/2008",NA,"KSK Energy Ventures, Ltd.",154084838356,"Electric Utilities & IPPs"
"154084815574","GSS Infotech Ltd","IPO","06/02/2008","16/02/2008","532951",35.28,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Software & IT Services","Software","Technology","Software & IT Services","Application Software","16/02/2008","India","06/02/2008","16/02/2008","16/02/2008","06/02/2008","16/02/2008","16/02/2008","06/02/2008","16/02/2008",NA,"GSS Infotech Ltd",154084815574,"Software & IT Services"
"154084672605","Shriram EPC, Ltd.","IPO","29/01/2008","04/02/2008","532945",38.24,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","04/02/2008","India","29/01/2008","04/02/2008","04/02/2008","29/01/2008","04/02/2008","04/02/2008","29/01/2008","04/02/2008",NA,"Shriram EPC, Ltd.",154084672605,"Construction & Engineering"
"154084861143","OnMobile Global Ltd","IPO","17/01/2008","01/02/2008","532944",122.32,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.6,1,1,0,"Software & IT Services","Software","Technology","Software & IT Services","Software (NEC)","01/02/2008","India","17/01/2008","01/02/2008","01/02/2008","17/01/2008","01/02/2008","01/02/2008","17/01/2008","01/02/2008",NA,"OnMobile Global Ltd",154084861143,"Software & IT Services"
"154084816339","BGR Energy Systems, Ltd.","IPO","05/12/2007","12/12/2007","532930",111.61,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Construction & Engineering","Construction & Engineering","Industrials","Industrial & Commercial Services","Construction & Engineering (NEC)","12/12/2007","India","05/12/2007","12/12/2007","12/12/2007","05/12/2007","12/12/2007","12/12/2007","05/12/2007","12/12/2007",NA,"BGR Energy Systems, Ltd.",154084816339,"Construction & Engineering"
"154084748626","Jyothy Labs Ltd","IPO","13/11/2007","28/11/2007","532926",77.27,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.7,1,1,0,"Personal & Household Products & Services","Household Products","Consumer Non-Cyclicals","Personal & Household Products & Services","Household Products (NEC)","28/11/2007","India","13/11/2007","28/11/2007","28/11/2007","13/11/2007","28/11/2007","28/11/2007","13/11/2007","28/11/2007",NA,"Jyothy Labs Ltd",154084748626,"Personal & Household Products & Services"
"154084831347","Kolte-Patil Developers Ltd","IPO","12/11/2007","27/11/2007","532924",69.49,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,1,0,"Real Estate Operations","Real Estate Rental, Development & Operations","Real Estate","Real Estate","Real Estate Rental, Development & Operations (NEC)","27/11/2007","India","12/11/2007","27/11/2007","27/11/2007","12/11/2007","27/11/2007","27/11/2007","12/11/2007","27/11/2007",NA,"Kolte-Patil Developers Ltd",154084831347,"Real Estate Operations"
"154084862311","Edelweiss Financial Services Ltd","IPO","15/11/2007","21/11/2007","532922",176.27,NA,0,0,0,0,0,0,0,0,0,0,0,0,7.7,1,1,0,"Investment Banking & Investment Services","Diversified Investment Services","Financials","Banking & Investment Services","Diversified Investment Services","21/11/2007","India","15/11/2007","21/11/2007","21/11/2007","15/11/2007","21/11/2007","21/11/2007","15/11/2007","21/11/2007",NA,"Edelweiss Financial Services Ltd",154084862311,"Investment Banking & Investment Services"
"154084774287","Motilal Oswal Financial Services, Ltd.","IPO","20/08/2007","24/08/2007","532892",60.3,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1,1,0,"Investment Banking & Investment Services","Investment Banking & Brokerage Services","Financials","Banking & Investment Services","Investment Banking & Brokerage Services (NEC)","24/08/2007","India","20/08/2007","24/08/2007","24/08/2007","20/08/2007","24/08/2007","24/08/2007","20/08/2007","24/08/2007",NA,"Motilal Oswal Financial Services, Ltd.",154084774287,"Investment Banking & Investment Services"
"154084863380","K.P.R. Mill Limited","IPO","08/08/2007","10/08/2007","532889",32.89,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1,0,"Textiles & Apparel","Textiles & Leather Goods","Consumer Cyclicals","Cyclical Consumer Products","Textiles & Leather Goods (NEC)","10/08/2007","India","08/08/2007","10/08/2007","10/08/2007","08/08/2007","10/08/2007","10/08/2007","08/08/2007","10/08/2007",NA,"K.P.R. Mill Limited",154084863380,"Textiles & Apparel"
"154084824664","Zylog Systems, Ltd.","IPO","08/03/2007","17/07/2007","532883",31.3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","17/07/2007","India","08/03/2007","17/07/2007","17/07/2007","08/03/2007","17/07/2007","17/07/2007","08/03/2007","17/07/2007",NA,"Zylog Systems, Ltd.",154084824664,"Software & IT Services"
"154084864220","Vishal Retail, Ltd.","IPO","13/06/2007","15/06/2007","532867",31.81,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1,0,"Specialty Retailers","Apparel & Accessories Retailers","Consumer Cyclicals","Retailers","Apparel & Accessories Retailers (NEC)","15/06/2007","India","13/06/2007","15/06/2007","15/06/2007","13/06/2007","15/06/2007","15/06/2007","13/06/2007","15/06/2007",NA,"Vishal Retail, Ltd.",154084864220,"Specialty Retailers"
"154084775694","Spice Communications Ltd","IPO","18/06/2007","28/06/2007","532863",127.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,10.5,1,1,0,"Telecommunications Services","Wireless Telecommunications Services","Technology","Telecommunications Services","Wireless Telecoms Service Providers","28/06/2007","India","18/06/2007","28/06/2007","28/06/2007","18/06/2007","28/06/2007","28/06/2007","18/06/2007","28/06/2007",NA,"Spice Communications Ltd",154084775694,"Telecommunications Services"
"154084749608","Idea Cellular, Ltd.","IPO","12/02/2007","19/02/2007","532822",555.78,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.1,1,1,0,"Telecommunications Services","Wireless Telecommunications Services","Technology","Telecommunications Services","Wireless Telecoms Service Providers","19/02/2007","India","12/02/2007","19/02/2007","19/02/2007","12/02/2007","19/02/2007","19/02/2007","12/02/2007","19/02/2007",NA,"Idea Cellular, Ltd.",154084749608,"Telecommunications Services"
"154084747878","Mudra Lifestyle, Ltd.","IPO","05/02/2007","19/02/2007","532820",19.61,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1,0,"Textiles & Apparel","Textiles & Leather Goods","Consumer Cyclicals","Cyclical Consumer Products","Textiles & Leather Goods (NEC)","19/02/2007","India","05/02/2007","19/02/2007","19/02/2007","05/02/2007","19/02/2007","19/02/2007","05/02/2007","19/02/2007",NA,"Mudra Lifestyle, Ltd.",154084747878,"Textiles & Apparel"
"154084760146","Firstsource Solutions Ltd","IPO","29/01/2007","03/02/2007","532809",100.85,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1,1,0,"Professional & Commercial Services","Business Support Services","Industrials","Industrial & Commercial Services","Call Center Services","03/02/2007","India","29/01/2007","03/02/2007","03/02/2007","29/01/2007","03/02/2007","03/02/2007","29/01/2007","03/02/2007",NA,"Firstsource Solutions Ltd",154084760146,"Professional & Commercial Services"
"154084760207","Redington (India) Ltd","IPO","13/01/2007","05/02/2007","532805",34,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,1,0,"Computers, Phones & Household Electronics","Computer Hardware","Technology","Technology Equipment","Computer Hardware (NEC)","05/02/2007","India","13/01/2007","05/02/2007","05/02/2007","13/01/2007","05/02/2007","05/02/2007","13/01/2007","05/02/2007",NA,"Redington (India) Ltd",154084760207,"Computers, Phones & Household Electronics"
"154084774942","IBN18 Broadcast, Ltd.","IPO","26/08/2006","05/02/2007","532800",23.88,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1,1,0,"Media & Publishing","Broadcasting","Consumer Cyclicals","Cyclical Consumer Services","Television Broadcasting","05/02/2007","India","26/08/2006","05/02/2007","05/02/2007","26/08/2006","05/02/2007","05/02/2007","26/08/2006","05/02/2007",NA,"IBN18 Broadcast, Ltd.",154084774942,"Media & Publishing"
"154084775137","Info Edge (India) Ltd","IPO","30/10/2006","03/11/2006","532777",38.06,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.6,1,1,0,"Software & IT Services","Online Services","Technology","Software & IT Services","Online Services (NEC)","03/11/2006","India","30/10/2006","03/11/2006","03/11/2006","30/10/2006","03/11/2006","03/11/2006","30/10/2006","03/11/2006",NA,"Info Edge (India) Ltd",154084775137,"Software & IT Services"
"154084759084","Accel Frontline, Ltd.","IPO","04/10/2006","18/10/2006","532774",9.34,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.8,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","18/10/2006","India","04/10/2006","18/10/2006","18/10/2006","04/10/2006","18/10/2006","18/10/2006","04/10/2006","18/10/2006",NA,"Accel Frontline, Ltd.",154084759084,"Software & IT Services"
"154084775750","GMR Infrastructure Ltd","IPO","14/07/2006","07/08/2006","532754",172.16,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,1,0,"Transport Infrastructure","Airport Operators & Services","Industrials","Transportation","Airport Operators","07/08/2006","India","14/07/2006","07/08/2006","07/08/2006","14/07/2006","07/08/2006","07/08/2006","14/07/2006","07/08/2006",NA,"GMR Infrastructure Ltd",154084775750,"Transport Infrastructure"
"154084774156","Allcargo Logistics Ltd","IPO","30/05/2006","15/06/2006","532749",30.59,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,1,0,"Freight & Logistics Services","Courier, Postal, Air Freight & Land-based Logistics","Industrials","Transportation","Courier, Postal, Air Freight & Land-based Logistics (NEC)","15/06/2006","India","30/05/2006","15/06/2006","15/06/2006","30/05/2006","15/06/2006","15/06/2006","30/05/2006","15/06/2006",NA,"Allcargo Logistics Ltd",154084774156,"Freight & Logistics Services"
"154084737578","Deccan Charters","IPO","17/09/2005","30/05/2006","532747",78.75,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1,1,0,"Passenger Transportation Services","Airlines","Industrials","Transportation","Airlines (NEC)","30/05/2006","India","17/09/2005","30/05/2006","30/05/2006","17/09/2005","30/05/2006","30/05/2006","17/09/2005","30/05/2006",NA,"Deccan Charters",154084737578,"Passenger Transportation Services"
"154084773841","Lokesh Machines, Ltd.","IPO","17/04/2006","22/04/2006","532740",9.32,NA,0,0,0,0,0,0,0,0,0,0,0,0,10.1,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Industrial Machinery & Equipment","Industrials","Industrial Goods","Industrial Machinery & Equipment (NEC)","22/04/2006","India","17/04/2006","22/04/2006","22/04/2006","17/04/2006","22/04/2006","22/04/2006","17/04/2006","22/04/2006",NA,"Lokesh Machines, Ltd.",154084773841,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084778134","Gujarat State Petronet Ltd","IPO","24/01/2006","03/02/2006","532702",84.53,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1,1,0,"Oil & Gas Related Equipment and Services","Oil & Gas Transportation Services","Energy","Energy - Fossil Fuels","LNG Transportation & Storage","03/02/2006","India","24/01/2006","03/02/2006","03/02/2006","24/01/2006","03/02/2006","03/02/2006","24/01/2006","03/02/2006",NA,"Gujarat State Petronet Ltd",154084778134,"Oil & Gas Related Equipment and Services"
"154084778221","Royal Orchid Hotels","IPO","12/01/2006","24/01/2006","532699",25.48,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,1,0,"Hotels & Entertainment Services","Hotels, Motels & Cruise Lines","Consumer Cyclicals","Cyclical Consumer Services","Hotels, Motels & Cruise Lines (NEC)","24/01/2006","India","12/01/2006","24/01/2006","24/01/2006","12/01/2006","24/01/2006","24/01/2006","12/01/2006","24/01/2006",NA,"Royal Orchid Hotels",154084778221,"Hotels & Entertainment Services"
"154084777911","Celebrity Fashions Pvt. Ltd.","IPO","19/12/2005","27/12/2005","532695",18.13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,"Textiles & Apparel","Apparel & Accessories","Consumer Cyclicals","Cyclical Consumer Products","Apparel & Accessories (NEC)","27/12/2005","India","19/12/2005","27/12/2005","27/12/2005","19/12/2005","27/12/2005","27/12/2005","19/12/2005","27/12/2005",NA,"Celebrity Fashions Pvt. Ltd.",154084777911,"Textiles & Apparel"
"154084778971","Bartronics India Limited","IPO","20/12/2005","27/12/2005","532694",10.79,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.8,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","27/12/2005","India","20/12/2005","27/12/2005","27/12/2005","20/12/2005","27/12/2005","27/12/2005","20/12/2005","27/12/2005",NA,"Bartronics India Limited",154084778971,"Software & IT Services"
"154084778135","PVR Ltd","IPO","08/10/2005","19/12/2005","532689",38.54,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1,1,0,"Hotels & Entertainment Services","Leisure & Recreation","Consumer Cyclicals","Cyclical Consumer Services","Movie Theaters & Movie Products","19/12/2005","India","08/10/2005","19/12/2005","19/12/2005","08/10/2005","19/12/2005","19/12/2005","08/10/2005","19/12/2005",NA,"PVR Ltd",154084778135,"Hotels & Entertainment Services"
"154084779301","Compulink Systems Pvt Ltd.","IPO","13/07/2005","25/11/2005","532688",5.95,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1,1,0,"Software & IT Services","Software","Technology","Software & IT Services","Software (NEC)","25/11/2005","India","13/07/2005","25/11/2005","25/11/2005","13/07/2005","25/11/2005","25/11/2005","13/07/2005","25/11/2005",NA,"Compulink Systems Pvt Ltd.",154084779301,"Software & IT Services"
"154084736621","ABG Shipyard Ltd","IPO","18/11/2005","01/12/2005","532682",34.25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Shipbuilding","Industrials","Industrial Goods","Shipbuilding (NEC)","01/12/2005","India","18/11/2005","01/12/2005","01/12/2005","18/11/2005","01/12/2005","01/12/2005","18/11/2005","01/12/2005",NA,"ABG Shipyard Ltd",154084736621,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
"154084787192","Suzlon Energy, Ltd.","IPO","23/09/2005","06/10/2005","532667",338.69,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,1,0,"Renewable Energy","Renewable Energy Equipment & Services","Energy","Renewable Energy","Wind Systems & Equipment","06/10/2005","India","23/09/2005","06/10/2005","06/10/2005","23/09/2005","06/10/2005","06/10/2005","23/09/2005","06/10/2005",NA,"Suzlon Energy, Ltd.",154084787192,"Renewable Energy"
"154084738094","Sasken Communication Technologies, Ltd.","IPO","11/08/2005","24/08/2005","532663",29.75,NA,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","24/08/2005","India","11/08/2005","24/08/2005","24/08/2005","11/08/2005","24/08/2005","24/08/2005","11/08/2005","24/08/2005",NA,"Sasken Communication Technologies, Ltd.",154084738094,"Software & IT Services"
"154084736425","Nectar Lifesciences Ltd","IPO","01/04/2005","22/06/2005","532649",21.39,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1,1,0,"Pharmaceuticals","Pharmaceuticals","Healthcare","Pharmaceuticals & Medical Research","Generic Pharmaceuticals","22/06/2005","India","01/04/2005","22/06/2005","22/06/2005","01/04/2005","22/06/2005","22/06/2005","01/04/2005","22/06/2005",NA,"Nectar Lifesciences Ltd",154084736425,"Pharmaceuticals"
"154084735320","Allsec Technologies Ltd","IPO","26/03/2005","22/04/2005","532633",9.72,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1,1,0,"Software & IT Services","IT Services & Consulting","Technology","Software & IT Services","IT Services & Consulting (NEC)","22/04/2005","India","26/03/2005","22/04/2005","22/04/2005","26/03/2005","22/04/2005","22/04/2005","26/03/2005","22/04/2005",NA,"Allsec Technologies Ltd",154084735320,"Software & IT Services"
"154084733301","Gateway Distriparks Ltd","IPO","01/03/2005","15/03/2005","532622",34.84,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,1,0,"Freight & Logistics Services","Ground Freight & Logistics","Industrials","Transportation","Ground Freight & Logistics (NEC)","15/03/2005","India","01/03/2005","15/03/2005","15/03/2005","01/03/2005","15/03/2005","15/03/2005","01/03/2005","15/03/2005",NA,"Gateway Distriparks Ltd",154084733301,"Freight & Logistics Services"
"154084733971","UTV Software Communications Pvt Ltd","IPO","11/02/2005","27/02/2005","532619",20.87,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.5,1,1,0,"Media & Publishing","Entertainment Production","Consumer Cyclicals","Cyclical Consumer Services","Entertainment Production (NEC)","27/02/2005","India","11/02/2005","27/02/2005","27/02/2005","11/02/2005","27/02/2005","27/02/2005","11/02/2005","27/02/2005",NA,"UTV Software Communications Pvt Ltd",154084733971,"Media & Publishing"
